기간,소방서,담배꽁초,음식물조리중,불장난,용접 절단 연마,불씨불꽃 화원방치,쓰레기소각,빨래삶기,가연물 근접방치,논임야 태우기,유류취급중,폭죽놀이,기타
2017,종로소방서,46,38,-,8,14,2,-,3,-,-,-,7
2017,중부소방서,35,34,1,5,5,-,1,6,-,-,-,7
2017,광진소방서,65,53,1,17,10,3,1,11,-,2,-,9
2017,용산소방서,42,28,-,4,14,2,5,9,-,-,-,1
2017,동대문소방서,38,33,-,7,12,2,-,11,-,-,-,11
2017,영등포소방서,35,32,1,8,23,3,-,13,-,1,-,4
2017,성북소방서,28,35,-,5,9,3,2,13,-,1,-,7
2017,은평소방서,26,14,1,4,8,-,1,3,-,1,-,10
2017,강남소방서,141,81,5,13,27,1,3,29,-,-,1,20
2017,서초소방서,61,26,2,5,18,1,1,9,-,-,-,14
2017,강서소방서,70,123,4,9,7,1,4,11,4,-,-,14
2017,강동소방서,54,68,3,3,2,9,3,10,-,-,-,9
2017,마포소방서,53,29,1,5,15,1,3,9,-,-,1,1
2017,도봉소방서,38,72,1,2,2,2,1,3,-,-,-,5
2017,구로소방서,60,164,5,7,23,1,5,12,-,1,-,4
2017,노원소방서,48,61,3,4,15,1,4,14,-,1,-,8
2017,관악소방서,50,54,1,5,15,-,1,9,-,-,-,17
2017,송파소방서,51,75,5,5,20,1,5,4,-,-,-,23
2017,양천소방서,39,95,2,-,10,2,2,9,-,-,-,4
2017,중랑소방서,48,52,3,-,8,4,-,6,-,-,-,7
2017,동작소방서,63,42,-,3,13,3,1,12,-,-,-,7
2017,서대문소방서,48,62,1,-,14,1,3,5,-,-,-,10
2017,강북소방서,35,56,4,3,5,-,4,13,2,-,-,10
2017,성동소방서,15,24,-,8,6,-,1,3,-,-,-,1
2018,종로소방서,52,46,1,5,15,-,2,7,-,-,-,9
2018,중부소방서,65,39,1,6,12,-,7,11,-,1,-,4
2018,광진소방서,42,46,-,5,10,-,4,7,-,-,-,7
2018,용산소방서,38,36,2,4,15,1,1,5,-,1,-,3
2018,동대문소방서,50,31,-,5,5,-,-,5,-,-,-,11
2018,영등포소방서,61,24,1,10,16,-,2,9,-,-,-,8
2018,성북소방서,38,38,-,3,6,1,1,11,-,1,-,15
2018,은평소방서,21,56,-,5,17,2,2,3,-,-,-,18
2018,강남소방서,116,61,1,10,12,3,2,22,-,-,-,11
2018,서초소방서,42,30,-,3,8,-,1,20,-,-,-,16
2018,강서소방서,66,114,6,6,17,2,4,13,2,-,-,13
2018,강동소방서,62,74,3,1,13,8,6,14,-,-,-,10
2018,마포소방서,63,45,1,6,10,-,3,9,-,-,-,1
2018,도봉소방서,31,94,1,5,7,-,7,3,1,-,-,7
2018,구로소방서,51,153,1,6,29,-,3,15,-,-,-,9
2018,노원소방서,57,28,-,2,11,3,2,7,-,1,-,11
2018,관악소방서,55,80,1,7,30,1,2,8,1,-,-,12
2018,송파소방서,62,73,3,9,17,3,2,5,-,-,-,12
2018,양천소방서,38,61,4,2,9,3,1,3,1,3,-,6
2018,중랑소방서,57,75,3,4,10,1,-,11,-,-,-,5
2018,동작소방서,48,44,-,6,5,1,2,12,-,-,-,5
2018,서대문소방서,57,59,-,3,9,3,-,5,-,-,-,11
2018,강북소방서,37,42,4,3,6,1,2,7,-,-,-,13
2018,성동소방서,31,44,-,11,10,3,2,2,-,4,-,6
2019,종로소방서,49,34,-,7,12,-,1,6,-,-,1,12
2019,중부소방서,74,25,-,5,7,-,-,9,-,-,-,5
2019,광진소방서,45,46,-,3,7,1,-,3,-,-,-,7
2019,용산소방서,81,51,2,3,8,5,2,4,-,-,-,9
2019,동대문소방서,45,29,1,4,2,1,-,12,-,-,-,10
2019,영등포소방서,65,32,-,5,20,4,1,20,-,1,-,3
2019,성북소방서,36,24,-,3,6,-,1,8,-,-,-,6
2019,은평소방서,35,53,-,4,10,1,2,3,-,-,-,10
2019,강남소방서,149,47,1,12,17,1,1,36,-,1,-,14
2019,서초소방서,50,23,-,4,9,1,2,14,-,2,-,18
2019,강서소방서,65,82,6,4,16,-,4,18,-,1,-,8
2019,강동소방서,61,53,3,-,10,2,2,15,-,1,-,7
2019,마포소방서,62,32,4,4,14,1,2,10,-,-,-,4
2019,도봉소방서,23,57,1,5,5,-,2,8,-,1,-,11
2019,구로소방서,68,106,2,8,37,-,-,8,1,-,-,11
2019,노원소방서,47,48,1,3,7,-,1,4,-,-,-,3
2019,관악소방서,44,77,-,8,26,-,2,11,-,-,-,20
2019,송파소방서,76,68,2,2,17,1,2,16,-,-,-,10
2019,양천소방서,30,51,-,1,8,1,1,8,1,1,-,2
2019,중랑소방서,46,76,-,3,2,3,2,14,-,-,1,5
2019,동작소방서,43,55,-,3,9,1,3,15,-,-,-,5
2019,서대문소방서,72,72,-,1,3,10,1,5,-,1,-,7
2019,강북소방서,31,56,-,4,4,-,-,6,-,1,-,8
2019,성동소방서,32,41,1,8,8,1,3,5,-,1,-,6
