기간,자치구,단독주택,공동주택,기타주택,학교,일반업무,판매시설,숙박시설,종교시설,의료시설,공장 및 창고,작업장,위락오락시설,음식점,일반서비스시설,기타 비주거 시설,위험물(가스 제조소 등),운송(차량 철도 등),임야,기타
2017,종로구,29,34,-,2,10,12,2,3,3,7,14,2,36,4,20,-,16,1,39
2017,중구,13,23,1,1,28,6,2,-,-,6,20,1,30,10,8,-,15,-,34
2017,용산구,20,34,3,1,7,7,1,2,2,2,6,-,31,7,6,-,6,1,31
2017,성동구,31,37,-,1,7,6,-,2,-,17,21,1,14,15,11,-,16,-,18
2017,광진구,70,39,1,1,6,-,-,-,-,2,4,1,28,7,13,-,12,-,16
2017,동대문구,49,32,1,2,13,3,1,-,3,4,10,3,23,14,15,-,11,1,15
2017,중랑구,53,43,1,2,5,7,-,3,1,2,4,-,27,5,3,-,12,3,25
2017,성북구,48,37,1,-,4,9,2,6,2,-,5,4,11,11,7,1,12,1,22
2017,강북구,62,37,1,-,7,8,2,-,1,-,1,-,14,3,6,-,8,-,36
2017,도봉구,35,78,1,-,7,4,1,-,2,1,3,-,9,7,12,-,8,8,16
2017,노원구,27,127,-,3,8,10,-,3,2,-,2,2,19,7,15,-,23,3,28
2017,은평구,34,49,1,1,6,2,1,1,2,1,-,3,13,6,11,-,15,2,11
2017,서대문구,39,66,-,5,6,3,4,-,3,-,-,3,44,6,11,-,16,2,24
2017,마포구,31,43,-,1,24,2,-,-,4,-,3,-,45,18,7,-,28,5,24
2017,양천구,42,98,-,-,4,6,-,2,-,2,1,2,21,12,10,-,22,3,19
2017,강서구,33,148,2,1,21,8,1,4,-,7,2,9,25,3,19,-,38,4,39
2017,구로구,50,67,-,1,27,7,1,3,-,8,2,4,25,10,7,-,18,4,26
2017,금천구,48,42,-,1,14,3,-,1,-,14,1,1,10,9,2,-,14,1,13
2017,영등포구,37,27,-,1,34,4,1,1,2,9,5,3,46,10,5,-,31,-,23
2017,동작구,52,50,1,2,5,3,-,1,1,1,-,3,17,13,14,-,13,1,45
2017,관악구,64,63,-,9,24,3,3,1,2,2,1,3,29,28,6,1,13,9,25
2017,서초구,17,48,1,2,33,18,1,-,3,1,1,-,35,7,15,-,30,1,29
2017,강남구,54,103,3,2,76,7,8,2,11,1,-,2,82,25,27,-,32,-,67
2017,송파구,26,126,1,-,18,13,-,2,1,4,3,1,26,8,13,-,39,4,33
2017,강동구,52,69,2,-,17,9,2,2,-,5,3,3,21,10,16,-,20,3,35
2018,종로구,18,39,5,-,14,20,7,4,1,1,11,1,50,9,14,-,10,1,49
2018,중구,20,38,3,1,35,25,7,1,1,4,17,3,34,9,11,-,13,1,52
2018,용산구,44,43,1,-,12,5,1,1,2,1,2,4,27,7,6,-,29,-,26
2018,성동구,38,44,1,-,13,5,2,1,2,13,10,2,23,12,10,-,19,-,17
2018,광진구,56,40,-,3,4,2,2,2,3,3,4,1,27,10,4,-,19,1,22
2018,동대문구,41,31,-,1,8,5,2,2,1,11,9,3,30,17,6,1,12,-,23
2018,중랑구,88,61,-,1,10,1,2,5,1,-,5,3,21,7,7,-,11,2,29
2018,성북구,48,58,-,5,4,4,4,2,1,1,3,2,21,20,12,-,5,-,25
2018,강북구,65,44,-,-,5,9,2,-,2,-,2,2,15,9,4,-,4,-,40
2018,도봉구,43,101,2,1,12,4,-,1,-,2,12,3,15,8,9,-,8,1,15
2018,노원구,11,80,-,3,5,5,-,1,2,1,1,2,19,11,14,-,26,2,46
2018,은평구,42,84,-,-,9,8,-,3,-,1,1,3,17,5,3,1,8,2,27
2018,서대문구,39,67,-,1,5,10,2,2,3,1,1,2,21,10,12,-,10,2,41
2018,마포구,37,57,-,3,30,4,1,-,2,-,-,2,43,12,12,-,26,4,21
2018,양천구,21,98,-,-,13,6,-,6,-,3,2,1,11,6,5,-,19,-,28
2018,강서구,46,148,-,1,21,13,1,4,5,-,5,1,27,9,17,-,22,4,59
2018,구로구,43,87,-,1,16,12,1,-,1,5,4,2,24,11,10,-,12,1,33
2018,금천구,40,38,-,-,14,2,1,-,1,15,3,1,12,11,7,-,8,1,14
2018,영등포구,33,44,2,-,24,4,4,4,3,9,10,2,33,5,18,-,19,-,44
2018,동작구,49,61,1,-,7,3,2,-,4,-,-,3,14,14,6,-,10,1,30
2018,관악구,111,65,-,2,23,9,7,3,1,-,3,4,30,23,3,-,15,2,36
2018,서초구,24,49,2,1,34,19,3,1,3,2,1,1,26,12,17,-,25,5,17
2018,강남구,30,91,2,3,67,10,9,-,6,-,-,5,73,26,20,-,36,1,57
2018,송파구,30,115,2,3,35,18,1,2,4,-,1,6,35,4,14,-,30,2,38
2018,강동구,56,86,1,-,18,4,2,3,1,1,4,6,34,27,20,-,20,1,40
2019,종로구,33,24,2,3,18,7,5,1,2,3,11,2,46,8,12,-,18,1,36
2019,중구,10,21,1,1,21,11,6,3,1,4,20,2,21,10,4,-,13,2,62
2019,용산구,43,43,1,-,14,7,3,-,1,-,1,1,37,7,12,-,11,-,57
2019,성동구,38,45,-,-,9,3,1,2,1,11,21,4,12,10,9,-,12,-,16
2019,광진구,56,33,-,-,10,2,1,1,2,5,1,3,21,16,9,-,18,1,16
2019,동대문구,44,32,8,2,9,8,2,1,1,6,12,-,21,8,10,-,11,-,20
2019,중랑구,69,55,-,-,4,1,1,3,1,1,5,2,15,14,5,-,13,2,19
2019,성북구,28,43,1,3,3,4,2,3,2,6,6,-,23,10,15,-,15,1,26
2019,강북구,43,54,-,-,1,18,-,1,2,-,1,1,7,5,1,-,5,4,24
2019,도봉구,30,78,3,1,10,6,-,1,2,4,2,-,13,4,9,-,8,1,7
2019,노원구,11,82,-,2,1,5,-,1,2,3,1,1,25,7,13,-,16,1,32
2019,은평구,39,81,2,1,3,2,-,1,1,-,1,1,15,7,6,-,11,3,22
2019,서대문구,41,67,-,1,8,13,2,2,1,1,-,3,31,8,11,-,12,-,68
2019,마포구,34,42,-,2,23,5,4,1,-,1,1,2,42,18,18,-,23,3,27
2019,양천구,16,65,-,-,12,6,-,2,1,-,1,1,16,2,8,-,12,-,21
2019,강서구,34,126,1,-,20,6,5,3,5,3,1,2,19,11,17,-,22,3,53
2019,구로구,37,69,-,2,17,10,3,1,3,9,3,2,23,6,8,-,16,3,35
2019,금천구,33,32,-,-,7,2,1,-,-,20,2,1,9,5,2,-,7,-,20
2019,영등포구,42,36,1,1,24,13,6,1,1,11,8,4,31,8,11,-,23,1,43
2019,동작구,58,50,-,-,3,2,1,3,-,-,-,2,18,16,5,-,7,4,39
2019,관악구,98,51,2,9,17,11,5,1,3,1,1,1,33,32,8,-,21,-,17
2019,서초구,20,60,3,2,34,28,5,1,2,4,3,1,22,5,11,-,22,1,18
2019,강남구,44,77,1,-,74,11,4,-,3,2,1,2,78,25,35,-,27,2,70
2019,송파구,34,78,4,2,31,16,-,-,2,2,1,4,17,9,13,-,35,1,86
2019,강동구,48,65,-,-,10,8,1,1,1,3,5,4,13,20,7,-,16,1,51
